time,load_actual_mw,load_forecast_mw
2025-01-01 00:00:00,48000,47850
2025-01-01 01:00:00,48015,47862
2025-01-01 02:00:00,48030,47874
2025-01-01 03:00:00,48045,47886
2025-01-01 04:00:00,48060,47898
2025-01-01 05:00:00,48075,47910
2025-01-01 06:00:00,48090,47922
2025-01-01 07:00:00,48105,47934
2025-01-01 08:00:00,48120,47946
2025-01-01 09:00:00,48135,47958
2025-01-01 10:00:00,48150,47970
2025-01-01 11:00:00,48165,47982
2025-01-01 12:00:00,48180,47994
2025-01-01 13:00:00,48195,48006
2025-01-01 14:00:00,48210,48018
2025-01-01 15:00:00,48225,48030
2025-01-01 16:00:00,48240,48042
2025-01-01 17:00:00,48255,48054
2025-01-01 18:00:00,48270,48066
2025-01-01 19:00:00,48285,48078
2025-01-01 20:00:00,48300,48090
2025-01-01 21:00:00,48315,48102
2025-01-01 22:00:00,48330,48114
2025-01-01 23:00:00,48345,48126
